"GeoAreaCode","GeoAreaName","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
426,"Lesotho","...","...","61.3","...","...","...","...","...","...","...","59.6","...","...","...","...","...","...","..."
428,"Latvia","...","...","...","...","2.5","2.2","1.5","0.5","1.2","1.7","1.7","1","1","1.2","0.7","0.7","...","..."
430,"Liberia","...","...","...","...","...","...","...","68.6","...","...","...","...","...","...","38.6","...","...","..."
440,"Lithuania","...","...","...","...","2.7","1.7","1.5","1.2","1.5","2.2","1.5","0.7","1","0.7","1.2","0.7","...","..."
442,"Luxembourg","...","...","...","0","0","0","0","0","0","0","0","0","0","0.1","0.2","0.2","...","..."
450,"Madagascar","...","68.7","...","...","...","72","...","...","...","...","78.5","...","77.6","...","...","...","...","..."
454,"Malawi","...","...","...","...","72.8","...","...","...","...","...","71.4","...","...","...","...","...","...","..."
458,"Malaysia","...","...","...","...","0.4","...","...","0.5","0.5","...","...","0.1","...","0","...","0","...","..."
462,"Maldives","...","...","10","...","...","...","...","...","...","7.3","...","...","...","...","...","...","...","..."
466,"Mali","...","58.5","...","...","...","...","51.3","...","...","49.7","...","...","...","...","...","...","...","..."
470,"Malta","...","...","...","...","...","...","0.5","0.5","0.2","0.5","0.2","0.2","0.2","0","0","0","...","..."
478,"Mauritania","19.6","...","...","...","14.4","...","...","...","10.8","...","...","...","...","...","6","...","...","..."
480,"Mauritius","...","...","...","...","...","...","0.4","...","...","...","...","...","0.5","...","...","...","...","..."
484,"Mexico","8.9","...","6.6","...","5.2","6.2","3.4","...","4.1","...","4.2","...","3.4","...","4.1","...","2.5","..."
496,"Mongolia","...","...","10.6","...","...","...","...","1.3","...","...","0.8","0.6","0.4","...","0.2","...","0.5","..."
498,"Republic of Moldova","35.9","27.6","16.6","7.6","8.7","14","2.4","1.1","1.3","1","0.5","0.3","0.3","0.1","0","0","0.2","..."
499,"Montenegro","...","...","...","...","...","0.2","0.1","0.4","0.2","0","0","0.2","1.3","1","0","...","...","..."
504,"Morocco","6.3","...","...","...","...","...","3.1","...","...","...","...","...","...","1","...","...","...","..."
508,"Mozambique","...","...","79.3","...","...","...","...","...","68.7","...","...","...","...","...","62.9","...","...","..."
516,"Namibia","...","...","...","31.5","...","...","...","...","...","22.6","...","...","...","...","...","13.4","...","..."
524,"Nepal","...","...","...","46.1","...","...","...","...","...","...","15","...","...","...","...","...","...","..."
528,"Netherlands","...","...","...","...","0.2","0","0","0","0","0.2","0","0","0","0","0","0","...","..."
548,"Vanuatu","...","...","...","...","...","...","...","...","...","...","13.2","...","...","...","...","...","...","..."
558,"Nicaragua","...","16.5","...","...","...","8.3","...","...","...","7.3","...","...","...","...","3.2","...","...","..."
562,"Niger","...","...","...","...","...","74.9","...","72","...","...","...","50.3","...","...","44.5","...","...","..."
566,"Nigeria","...","...","...","53.5","...","...","...","...","...","53.5","...","...","...","...","...","...","...","..."
578,"Norway","...","...","...","0.2","0.2","0.2","0.2","0.2","0.2","0","0","0","0","0","0","0.2","...","..."
583,"Micronesia (Federated States of)","...","...","...","...","...","8.5","...","...","...","...","...","...","...","16","...","...","...","..."
586,"Pakistan","...","28.6","...","...","18","16.5","...","13.2","...","...","8.3","7.9","...","6.1","...","4","...","..."
591,"Panama","12.4","15.5","11.2","11.2","10.2","10","10.5","7.8","7","3.2","4.5","3","4.2","2.8","3.5","2","2.2","..."
598,"Papua New Guinea","...","...","...","...","...","...","...","...","...","38","...","...","...","...","...","...","...","..."
600,"Paraguay","...","8.9","13.2","8.3","5.7","6.1","7.9","7.8","4.3","5.8","5.5","5","3.3","1.8","2.4","1.9","1.7","..."
604,"Peru","16.4","17.1","15.1","11.9","13.6","15.5","13.5","11.1","8.9","7","5.5","5.2","4.7","4.3","3.7","3.6","3.5","..."
620,"Portugal","...","...","...","1","0.5","0.5","0","0.2","0.2","0.2","0.2","0.5","0.7","0.7","0.5","0.5","...","..."
624,"Guinea-Bissau","...","...","53.9","...","...","...","...","...","...","...","67.1","...","...","...","...","...","...","..."
626,"Timor-Leste","...","46","...","...","...","...","...","47","...","...","...","...","...","...","30.3","...","...","..."
642,"Romania","...","...","...","...","...","...","8","5.7","4.5","3.5","4.5","5.7","6.7","7.2","7.5","5.7","...","..."
643,"Russian Federation","2.2","1.3","0.7","0.8","0.7","0.5","0.3","0.1","0.1","0","0.1","0","0","0","0","0","...","..."
646,"Rwanda","76.5","...","...","...","...","67.2","...","...","...","...","62.4","...","...","56","...","...","...","..."
678,"Sao Tome and Principe","29.8","...","...","...","...","...","...","...","...","...","32.3","...","...","...","...","...","...","..."
686,"Senegal","...","49.2","...","...","...","38.4","...","...","...","...","...","38","...","...","...","...","...","..."
690,"Seychelles","...","...","...","...","...","...","...","...","...","...","...","...","...","1.1","...","...","...","..."
694,"Sierra Leone","...","...","...","61.3","...","...","...","...","...","...","...","52.2","...","...","...","...","...","..."
